PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),partial phonon DOS (1/eV),error of partial phonon DOS (1/eV)
 6.31677E+01,-5.30235E+00, 4.11174E+00
 6.34154E+01,-2.36421E+00, 4.80363E+00
 6.36632E+01, 1.48355E+00, 6.10012E+00
 6.39109E+01, 4.38578E+00, 5.56821E+00
 6.41586E+01, 4.28552E+00, 4.15647E+00
 6.44063E+01, 1.73400E+00, 4.86188E+00
 6.46540E+01, 1.56043E+00, 5.22983E+00
 6.49017E+01, 3.08912E+00, 5.02625E+00
 6.51495E+01, 3.10988E+00, 5.41033E+00
 6.53972E+01, 2.11781E-01, 4.36640E+00
 6.56449E+01,-2.64862E+00, 3.34698E+00
 6.58926E+01,-1.49896E+00, 4.77366E+00
 6.61403E+01,-9.83342E-01, 4.73784E+00
 6.63880E+01,-3.13123E+00, 4.49790E+00
 6.66358E+01,-2.58218E+00, 5.07473E+00
 6.68835E+01, 1.61215E+00, 5.00342E+00
 6.71312E+01, 5.20726E+00, 5.19366E+00
 6.73789E+01, 6.59575E+00, 5.61304E+00
 6.76266E+01, 6.99366E+00, 5.09731E+00
 6.78743E+01, 4.30039E+00, 4.89575E+00
 6.81221E+01,-5.56416E-01, 3.76974E+00
 6.83698E+01,-3.21986E+00, 4.91930E+00
 6.86175E+01,-1.38090E+00, 4.92346E+00
 6.88652E+01, 1.94560E+00, 4.53414E+00
 6.91129E+01, 2.66080E+00, 4.51912E+00
 6.93606E+01, 2.73734E+00, 5.64514E+00
 6.96084E+01, 3.19399E+00, 5.20541E+00
 6.98561E+01, 2.04843E+00, 5.41952E+00
 7.01038E+01,-1.13234E+00, 4.92537E+00
 7.03515E+01,-2.34649E+00, 4.12924E+00
 7.05992E+01,-1.33060E+00, 4.74332E+00
 7.08469E+01,-2.18679E+00, 4.15147E+00
 7.10947E+01,-5.10517E+00, 3.72763E+00
 7.13424E+01,-4.63721E+00, 4.75869E+00
 7.15901E+01, 1.79991E+00, 5.22700E+00
 7.18378E+01, 4.85800E+00, 4.75001E+00
 7.20855E+01, 1.54112E-01, 4.31439E+00
 7.23332E+01,-5.36230E+00, 4.64355E+00
 7.25810E+01,-8.81816E+00, 4.10281E+00
 7.28287E+01,-1.00211E+01, 4.01958E+00
 7.30764E+01,-7.24447E+00, 5.14203E+00
 7.33241E+01, 8.63476E-02, 3.89832E+00
 7.35718E+01, 1.38801E+00, 5.09551E+00
 7.38195E+01, 1.73677E+00, 5.68329E+00
 7.40673E+01,-9.33106E-01, 4.05597E+00
 7.43150E+01,-2.96117E+00, 4.06782E+00
 7.45627E+01,-1.29412E+00, 4.81609E+00
 7.48104E+01, 6.80412E-01, 5.13759E+00
 7.50581E+01,-1.13020E-01, 4.25707E+00
 7.53058E+01,-1.16730E+00, 4.46143E+00
 7.55536E+01, 8.43146E-01, 5.68818E+00
 7.58013E+01, 2.76115E+00, 5.07410E+00
 7.60490E+01, 2.92643E+00, 4.11644E+00
 7.62967E+01, 2.14627E+00, 5.77873E+00
 7.65444E+01,-1.01682E+00, 4.81917E+00
 7.67921E+01,-5.11317E+00, 3.01010E+00
 7.70399E+01,-6.47989E+00, 4.51207E+00
 7.72876E+01,-5.95126E+00, 4.62181E+00
 7.75353E+01,-3.61922E+00, 6.97155E+00
 7.77830E+01,-2.45963E+00, 5.72628E+00
 7.80307E+01,-4.31167E+00, 3.34419E+00
 7.82784E+01,-5.24836E+00, 6.12040E+00
 7.85262E+01,-3.93571E+00, 6.10933E+00
 7.87739E+01,-4.23494E+00, 4.59281E+00
 7.90216E+01,-5.25755E+00, 4.50819E+00
 7.92693E+01,-4.69080E+00, 5.65054E+00
 7.95170E+01,-4.61136E+00, 8.17180E+00
 7.97647E+01,-5.14710E+00, 3.74745E+00
 8.00125E+01,-5.58420E+00, 5.20902E+00
 8.02602E+01,-4.30772E+00, 5.03702E+00
 8.05079E+01,-3.72518E+00, 9.01057E+00
 8.07556E+01,-4.99921E+00, 5.55734E+00
 8.10033E+01,-5.53027E+00, 1.72067E+00
 8.12510E+01,-5.08520E+00, 5.53020E+00
 8.14988E+01,-4.96922E+00, 9.82214E+00
 8.17465E+01,-7.23439E+00, 3.48525E+00
 8.19942E+01,-7.71878E+00, 6.91360E+00
 8.22419E+01,-5.46391E+00, 6.44666E+00
 8.24896E+01,-1.96124E+00, 1.19084E+01
 8.27373E+01, 2.15362E+00, 1.18323E+01
 8.29851E+01, 1.55156E+00, 1.07465E+01
 8.32328E+01,-5.45751E+00, 8.99945E-02
 8.34805E+01,-1.10695E+01, 8.95522E-02
 8.37282E+01,-9.72222E+00, 8.88463E-02
