2theta,Intensity,Model,Residual,Background,bcc Fe
23.24749154,113.948761,113.79213754546636,0.15662345453364424,113.442693125696,0.34944441977035773
23.25486584,113.6580963,113.70352306621413,-0.04542676621413477,113.35005130604975,0.3534717601643765
23.26224015,113.64529420000001,113.61508769499886,0.03020650500114641,113.25751856950922,0.3575691254896417
23.26961445,113.64599609999999,113.52683330411307,0.11916279588692191,113.16509516703388,0.36173813707919256
23.27698875,113.51321409999998,113.43876145380335,0.07445264619663305,113.07278097307005,0.36598048073330186
23.28436306,113.30528259999998,113.35087375484729,-0.04559115484730114,112.98057586265634,0.37029789219094805
23.29173736,113.19783020000001,113.263172226745,-0.06534202674498601,112.88848008586376,0.374692140881236
23.29911166,113.159523,113.17565858446706,-0.0161355844670652,112.79649351758269,0.3791650668843651
23.30648597,113.1141815,113.08833459905716,0.025846900942838147,112.70461603329557,0.38371856576159385
23.31386027,112.8390121,113.00120245373077,-0.1621903537307645,112.61284788218552,0.3883545715452558
23.32123457,112.49988559999998,112.91426403545,-0.4143784354500184,112.52118893958686,0.3930750958631399
23.32860888,112.3477707,112.82752129352522,-0.47975059352522464,112.4296390814269,0.3978822120983261
23.33598318,112.37524409999999,112.74097659357828,-0.3657324935782924,112.33819855599938,0.4027780375789006
23.34335748,112.3146515,112.65463201412888,-0.3399805141288823,112.24686723908314,0.4077647750457382
23.35073179,112.22071840000001,112.56848970316362,-0.3477713031636114,112.15564500704988,0.41284469611373303
23.35810609,112.0809631,112.48255222992647,-0.4015891299264638,112.06453210730501,0.4180201226214494
23.36548039,111.970871,112.39682188671391,-0.42595088671390613,111.97352841607153,0.4232934706423776
23.3728547,112.0211563,112.31130104338473,-0.2901447433847295,111.88263381016498,0.4286672332197586
23.380229,111.9176636,112.22599249693845,-0.30832889693844834,111.79184853610252,0.4341439608359239
23.3876033,111.9006729,112.14089877874166,-0.24022587874165424,111.70117247055157,0.4397263081900921
23.39497761,111.89991,112.05602250695225,-0.15611250695224044,111.61060549077195,0.44541701618029733
23.40235191,111.84989170000001,111.97136673384448,-0.12147503384446168,111.52014784239213,0.45121889145233646
23.40972621,111.6619263,111.88693425871708,-0.2250079587170717,111.4297994025236,0.45713485619347755
23.41710052,111.40365600000001,111.80272797820808,-0.3990719782080703,111.3395600488708,0.4631679293372938
23.42447482,111.24554440000001,111.71875123132664,-0.4732068313266211,111.24943002617363,0.4693212051530052
23.43184912,111.1487885,111.6350071183227,-0.4862186183227095,111.15940921198785,0.47559790633485755
23.43922343,111.106163,111.55149884887096,-0.4453358488709682,111.06949748446186,0.482001364409101
23.44659773,111.0306244,111.46823008477337,-0.4376056847733736,110.97969508744688,0.48853499732648076
23.45397204,111.1756592,111.38520415268403,-0.20954495268402695,110.89000177738819,0.49520237529583194
23.46134634,111.16262820000001,111.30242495225366,-0.13979675225364474,110.80041779754458,0.502007154709073
23.46872064,110.9281311,111.21989617225212,-0.2917650722521188,110.71094302621236,0.5089531460397604
23.47609495,110.69703670000001,111.1376216351693,-0.44058493516928365,110.6215773422806,0.5160442928887008
23.48346925,110.7287216,111.05560563596151,-0.3268840359615126,110.5323209881193,0.5232846478422188
23.49084355,110.62837979999999,110.97385227847296,-0.3454724784729706,110.4431738424696,0.5306784360033571
23.49821786,110.59647369999999,110.89236581787927,-0.2958921178792764,110.35413578466466,0.5382300332146045
23.50559216,110.4849243,110.81115099702797,-0.3262266970279626,110.26520705618611,0.5459439408418584
23.51296646,110.35815430000001,110.73021239019336,-0.3720580901933488,110.17638753621873,0.5538248539746374
23.52034077,110.28793329999999,110.64955474337592,-0.36162144337592395,110.0876771045406,0.5618776388353109
23.52771507,110.2034912,110.5691833082196,-0.36569210821960496,109.9990760017447,0.5701073064749065
23.53508937,110.26637269999999,110.48910319360434,-0.22273049360434527,109.91058410746007,0.5785190861442653
23.54246368,110.17742920000002,110.40931970382414,-0.23189050382411835,109.82220130190888,0.5871184019152557
23.54983798,110.12973020000001,110.32983867008366,-0.20010847008364863,109.73392782479516,0.5959108452885034
23.55721228,110.0932999,110.25066581050433,-0.1573659105043248,109.64576355619317,0.6049022543111522
23.56458659,110.03952790000001,110.17180706622577,-0.1322791662257572,109.55770837676869,0.6140986894570755
23.57196089,109.94396210000001,110.0932689305036,-0.1493068305035905,109.46976252533773,0.6235064051658626
23.57933519,109.9057007,110.01505781778881,-0.10935711778881796,109.38192588241827,0.6331319353705408
23.5867095,109.742218,109.93718039783298,-0.19496239783298108,109.29419832912049,0.6429820687124794
23.5940838,109.5933228,109.85964392242938,-0.2663211224293889,109.20658010337218,0.6530638190572141
23.6014581,109.3892365,109.78245560433584,-0.3932191043358415,109.11907108613536,0.6633845182004747
23.60883241,109.41091159999999,109.7056229494959,-0.2947113494959126,109.03167115896451,0.6739517905313939
23.61620671,109.4353409,109.629154081505,-0.19381318150500704,108.9443805588985,0.6847735226065004
23.62358101,109.5108643,109.55305713127282,-0.04219283127282836,108.85719916734422,0.6958579639285969
23.63095532,109.5917053,109.47734056752242,0.11436473247758272,108.77012686630019,0.7072137012222335
23.63832962,109.6449356,109.40201351911215,0.24292208088785117,108.68316389191693,0.7188496271952158
23.64570392,109.55477909999999,109.3270851764831,0.22769392351689532,108.59631012604518,0.7307750504379151
23.65307823,109.48723600000001,109.2525651206693,0.2346708793307073,108.50956545112786,0.7429996695414489
23.66045253,109.45219420000001,109.17846364366781,0.2737305563321968,108.42293010242713,0.7555335412406845
23.66782683,109.4611206,109.10479116290601,0.35632943709399,108.33640396223791,0.7683872006680947
23.67520114,109.48786159999999,109.0315585490808,0.456303050919189,108.24998691344763,0.7815716356331669
23.68257544,109.4312592,108.95877744485705,0.472481755142951,108.16367919042955,0.7950982544275021
23.68994974,109.3159027,108.88645969381925,0.4294430061807475,108.07748067592263,0.8089790178966129
23.69732405,109.12751010000001,108.81461766757477,0.3128924324252438,107.99139125325917,0.8232264143155956
23.70469835,108.96087649999998,108.74326458317698,0.21761191682300307,107.90541115592362,0.8378534272533609
23.71207265,108.8477402,108.6724139483087,0.17532625169130256,107.81954026709946,0.8528736812092476
23.71944696,108.72015379999999,108.60207988823778,0.1180739117622096,107.73377847056281,0.8683014176749763
23.72682126,108.5862503,108.53227746252087,0.053972837479136615,107.64812599890956,0.8841514636112976
23.73419557,108.5694885,108.46302203498159,0.10646646501841417,107.5625826198401,0.9004394151414867
23.74156987,108.56461329999999,108.39433006899623,0.17028323100376497,107.47714856535822,0.9171815036380044
23.74894417,108.503479,108.32621850887892,0.1772604911210749,107.39182371938773,0.9343947894911955
23.75631848,108.30081940000001,108.25870510849606,0.04211429150394963,107.3066079664452,0.9520971420508586
23.76369278,108.26373290000001,108.19180874860265,0.07192415139735431,107.22150153764551,0.9703072109571447
23.77106708,108.2790375,108.12554893683672,0.15348856316327897,107.13650431735755,0.9890446194791722
23.77844139,108.25953670000001,108.05994613896738,0.19959056103263606,107.05161619054184,1.008329948425542
23.78581569,108.12519840000002,107.99502209822859,0.13017630177142792,106.96683738742502,1.0281847108035667
23.79318999,107.92733759999999,107.93079936175772,-0.003461761757733939,106.88216779281947,1.0486315689382506
23.8005643,107.66011809999999,107.86730161624217,-0.207183516242182,106.79760729213046,1.0696943241117043
