2theta,Intensity,Model,Residual,Background,hcp FeNiSi
22.41727096,1084.12146,1084.6564511632075,-0.5349911632074509,1083.0622429290743,1.5942082341333401
22.42463658,1084.032471,1084.5643071380791,-0.531836138079143,1082.9509381733465,1.6133689647326068
22.43200221,1084.0076900000001,1084.4725863692881,-0.4648963692879988,1082.8397008306015,1.6328855386866006
22.43936783,1083.844482,1084.3812979555062,-0.5368159555061993,1082.7285312028844,1.6527667526217018
22.44673345,1084.1876220000001,1084.2904508958302,-0.10282889583004362,1082.6174291391262,1.6730217567038657
22.45409907,1084.6782230000001,1084.2000545986202,0.4781684013798895,1082.5063946393277,1.6936599592925006
22.46146469,1084.96228,1084.110118767261,0.8521612327390358,1082.3954277034884,1.7146910637725414
22.46883032,1084.845093,1084.020653290058,0.8244397099419984,1082.284528181091,1.7361251089669492
22.47619594,1084.557617,1083.9316687369662,0.6259482630337061,1082.1736963732624,1.7579723637039035
22.48356156,1084.56897,1083.8431756428024,0.7257943571976284,1082.0629321293932,1.7802435134093246
22.49092718,1084.284546,1083.7551850062919,0.5293609937082238,1081.9522354494834,1.8029495568085196
22.4982928,1085.16687,1083.6677081813739,1.4991618186261348,1081.8416063335328,1.826101847841041
22.50565843,1084.93103,1083.5807567731845,1.3502732268154887,1081.7310446314827,1.8497121417016495
22.51302405,1085.178101,1083.494343123824,1.6837578761760597,1081.6205506435429,1.8737924802811086
22.52038967,1085.1016849999999,1083.408479618949,1.6932053810508023,1081.5101242195624,1.8983553993866693
22.52775529,1084.934937,1083.3231791762933,1.6117578237067391,1081.399765359541,1.9234138167520625
22.53512092,1084.264893,1083.2384550289225,1.0264379710774847,1081.2894739137873,1.948981115135269
22.54248654,1084.0366210000002,1083.154321201596,0.8822997984041194,1081.1792501817768,1.975071019819404
22.54985216,1084.287842,1083.070791838394,1.2170501616060392,1081.0690940137256,2.00169782466838
22.55721778,1084.799683,1082.98788168226,1.8118013177399916,1080.9590054096338,2.0288762726261864
22.5645834,1084.8344730000001,1082.9056059790773,1.9288670209227803,1080.8489843695015,2.056621609575741
22.57194903,1084.5410160000001,1082.823980387699,1.7170356123010606,1080.739030744095,2.084949643604054
22.57931465,1084.413696,1082.7430214437068,1.6706745562933065,1080.629144831973,2.1138766117337076
22.58668027,1084.387695,1082.6627459168208,1.7249490831791263,1080.5193264838106,2.1434194330102785
22.59404589,1084.595093,1082.5831712785075,2.0119217214923992,1080.4095756996073,2.1735955789001284
22.60141151,1085.193481,1082.5043156152494,2.689165384750595,1080.2998924793637,2.2044231358857225
22.60877714,1085.857544,1082.426197548706,3.431346451293848,1080.1902766743046,2.235920874401489
22.61614276,1085.982666,1082.3488366858942,3.633829314105924,1080.0807285820715,2.26810810382271
22.62350838,1086.418945,1082.2722530110534,4.146691988946486,1079.9712480537978,2.301004957255598
22.630874,1086.442017,1082.196467340534,4.245549659466178,1079.8618350894835,2.334632251050397
22.63823963,1086.615845,1082.121501146098,4.494343853902137,1079.7524895407205,2.369011605377487
