PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
-2.20972E+01, 8.73915E+01, 9.95848E+00
-2.18494E+01, 8.57932E+01, 9.26333E+00
-2.16017E+01, 8.08585E+01, 8.83830E+00
-2.13540E+01, 5.95808E+01, 7.65529E+00
-2.11063E+01, 6.52871E+01, 9.06698E+00
-2.08586E+01, 8.21590E+01, 8.77211E+00
-2.06109E+01, 8.20435E+01, 1.00431E+01
-2.03631E+01, 8.64905E+01, 8.27679E+00
-2.01154E+01, 5.96958E+01, 8.15169E+00
-1.98677E+01, 5.80485E+01, 7.60989E+00
-1.96200E+01, 6.45333E+01, 8.18430E+00
-1.93723E+01, 4.80272E+01, 6.38125E+00
-1.91246E+01, 4.23875E+01, 7.51566E+00
-1.88768E+01, 5.60111E+01, 7.40313E+00
-1.86291E+01, 4.67550E+01, 6.73276E+00
-1.83814E+01, 4.87370E+01, 7.82284E+00
-1.81337E+01, 6.36141E+01, 8.60027E+00
-1.78860E+01, 5.92010E+01, 7.47918E+00
-1.76383E+01, 6.01715E+01, 8.00149E+00
-1.73905E+01, 5.57639E+01, 7.86314E+00
-1.71428E+01, 5.25393E+01, 7.13233E+00
-1.68951E+01, 4.89665E+01, 7.06997E+00
-1.66474E+01, 4.51613E+01, 7.00428E+00
-1.63997E+01, 5.03252E+01, 7.27366E+00
-1.61520E+01, 5.01791E+01, 7.58173E+00
-1.59042E+01, 5.11079E+01, 7.18142E+00
-1.56565E+01, 5.22679E+01, 7.93973E+00
-1.54088E+01, 5.39518E+01, 7.03707E+00
-1.51611E+01, 4.80902E+01, 7.55658E+00
-1.49134E+01, 5.64080E+01, 7.52048E+00
-1.46657E+01, 4.58591E+01, 6.96717E+00
-1.44179E+01, 4.95965E+01, 7.49729E+00
-1.41702E+01, 4.85002E+01, 6.53658E+00
-1.39225E+01, 3.82668E+01, 6.63731E+00
-1.36748E+01, 4.96684E+01, 7.64527E+00
-1.34271E+01, 4.86904E+01, 6.86763E+00
-1.31794E+01, 4.64147E+01, 6.88783E+00
-1.29316E+01, 4.54704E+01, 7.32149E+00
-1.26839E+01, 4.49010E+01, 7.24102E+00
-1.24362E+01, 5.66987E+01, 7.50577E+00
-1.21885E+01, 4.81155E+01, 6.91165E+00
-1.19408E+01, 4.85063E+01, 7.47265E+00
-1.16931E+01, 4.72134E+01, 7.14939E+00
-1.14453E+01, 4.66711E+01, 6.74667E+00
-1.11976E+01, 4.52176E+01, 7.79073E+00
-1.09499E+01, 5.32393E+01, 6.76270E+00
-1.07022E+01, 3.91464E+01, 6.59914E+00
-1.04545E+01, 4.64329E+01, 7.11135E+00
-1.02068E+01, 5.01512E+01, 7.79581E+00
-9.95904E+00, 5.31991E+01, 6.97072E+00
-9.71133E+00, 4.52532E+01, 7.26689E+00
-9.46361E+00, 5.16407E+01, 7.43810E+00
-9.21589E+00, 4.69378E+01, 7.14620E+00
-8.96818E+00, 5.30825E+01, 7.67830E+00
-8.72046E+00, 5.52503E+01, 7.48122E+00
-8.47274E+00, 4.93777E+01, 7.18336E+00
-8.22503E+00, 4.59120E+01, 7.14327E+00
-7.97731E+00, 4.98497E+01, 7.06078E+00
-7.72959E+00, 4.71193E+01, 7.04443E+00
-7.48188E+00, 4.24298E+01, 6.52075E+00
-7.23416E+00, 4.22111E+01, 7.47307E+00
-6.98644E+00, 5.94980E+01, 7.76000E+00
-6.73873E+00, 5.16011E+01, 7.00831E+00
-6.49101E+00, 4.46243E+01, 8.02823E+00
-6.24329E+00, 6.75833E+01, 8.07386E+00
-5.99558E+00, 6.30869E+01, 8.46671E+00
-5.74786E+00, 6.07284E+01, 7.48341E+00
-5.50014E+00, 6.05942E+01, 8.28380E+00
-5.25243E+00, 6.74111E+01, 8.85599E+00
-5.00471E+00, 6.72307E+01, 7.51730E+00
-4.75699E+00, 4.84710E+01, 6.82193E+00
-4.50928E+00, 4.72227E+01, 7.62797E+00
-4.26156E+00, 5.52197E+01, 8.21728E+00
-4.01384E+00, 5.88035E+01, 8.00647E+00
-3.76613E+00, 5.27878E+01, 8.22906E+00
-3.51841E+00, 6.10820E+01, 8.59035E+00
-3.27069E+00, 6.32581E+01, 8.88094E+00
-3.02298E+00, 6.64157E+01, 9.63630E+00
-2.77526E+00, 7.23311E+01, 9.90106E+00
-2.52754E+00, 7.29963E+01, 1.14274E+01
-2.27983E+00, 8.34002E+01, 1.21674E+01
-2.03211E+00, 5.95064E+01, 1.44074E+01
-1.78439E+00, 6.22310E+01, 1.67450E+01
-1.53668E+00, 6.62895E+01, 2.26261E+01
-1.28896E+00, 6.74842E+01, 3.06179E+01
-1.04124E+00, 6.99743E+01, 4.44474E+01
-7.93528E-01, 7.29384E+01, 5.77040E+01
-5.45811E-01, 7.40708E+01, 7.45971E+01
-2.98095E-01, 7.32344E+01, 8.33800E+01
-5.03781E-02, 7.13351E+01, 8.54212E+01
 1.97338E-01, 7.03236E+01, 7.91303E+01
 4.45055E-01, 7.04160E+01, 6.55520E+01
 6.92772E-01, 7.13505E+01, 4.97302E+01
 9.40488E-01, 7.21087E+01, 3.42564E+01
 1.18820E+00, 7.11390E+01, 2.39939E+01
 1.43592E+00, 6.96138E+01, 1.81448E+01
 1.68364E+00, 7.07814E+01, 1.45031E+01
 1.93135E+00, 6.45076E+01, 1.19082E+01
 2.17907E+00, 6.90279E+01, 1.10904E+01
 2.42679E+00, 7.95755E+01, 9.66361E+00
 2.67450E+00, 6.64981E+01, 9.46986E+00
 2.92222E+00, 8.41596E+01, 9.07228E+00
 3.16994E+00, 7.59068E+01, 8.83117E+00
 3.41765E+00, 8.07235E+01, 9.42804E+00
 3.66537E+00, 7.54495E+01, 8.52525E+00
 3.91309E+00, 7.17403E+01, 9.11266E+00
 4.16080E+00, 8.92936E+01, 9.47475E+00
 4.40852E+00, 6.93735E+01, 8.12250E+00
 4.65624E+00, 6.90138E+01, 9.07130E+00
 4.90395E+00, 7.52467E+01, 8.52255E+00
 5.15167E+00, 6.48074E+01, 8.16887E+00
 5.39939E+00, 7.35921E+01, 9.04180E+00
 5.64710E+00, 7.09230E+01, 8.92392E+00
 5.89482E+00, 8.12283E+01, 8.24634E+00
