Ref Folder,Ref Index,Vi,dVi,Folder,Index,V,dV,V/Vi,xi,dxi
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.95,0.925,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.934,0.896,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.913,0.8695,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.889,0.832,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.184,1.292,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.112,1.168,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.072,1.1095,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.054,1.085,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.03,1.034,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.0,1.0,0.02
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.978,0.9575,0.02
